kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,id,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,809D8995-2BF5-E011-92E9-6DC07B778F0D,20104825,SDS Suka Mulia,SD,S,"Jl. Suka Mulia VII, RT 005 / 01",-6.1712,106.854
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16003,Kec. Senen,80849F94-2BF5-E011-9FF1-15204890AF83,20104648,SDN Paseban 01 Pg.,SD,N,Jl. Kramat Sawah VI,-6.1932,106.8552
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,60EF0996-2BF5-E011-A74C-31A719EAA71C,20100335,SMP Kristen Kanaan,SMP,S,Jl. Kran Raya No. 7,-6.1596,106.8462
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,88D4B4B1-A7FA-4EB2-9E65-C501B5C105C2,69864647,SMP MUHAMMADIYAH 11,SMP,S,JL. DANAU LIMBOTO NO. 2 PEJOMPONGAN BENHIL,-6.209187,106.811516
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16003,Kec. Senen,00F40896-2BF5-E011-9D3E-756B9AEB4C5D,20106439,SMP Trisula Perwari 2,SMP,S,Jl. Salemba Tengah No. 9,-6.1937,106.8506
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16005,Kec. Cempaka Putih,00A10996-2BF5-E011-906A-E71645CD8F92,20100323,SMP MELANIA II,SMP,S,Jl. Percetakan Negara No. 31,-6.1861,106.8696
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16004,Kec. Johar Baru,700AA294-2BF5-E011-A295-B3A3177BCE1A,20104542,SD NEGERI JOHAR BARU 04 PETANG,SD,N,Jl. Kramat Jaya Baru Blok H 1,-6.1841,106.8547
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,2018E4BF-9DF8-E111-947A-419D56978918,20177882,SDS KRISTEN CALVIN,SD,S,JL. INDUSTRI BLOK B14 KAV. 1,-6.161,106.8459
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,60300796-2BF5-E011-A8F6-559CF7FD19CF,20100289,SMP 1908,SMP,S,Jl. Petamburan III No. 41,-6.1952,106.807
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,60F18895-2BF5-E011-BBB4-9BA36A7F5DA3,20104722,SD AL MARHAMAH,SD,S,Jl.angkasa Dalam II/52,-6.1581,106.8442
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,10FA8995-2BF5-E011-BA2B-4F37FE0D31BE,20109440,SD IT QATRUNNADA,SD,S,Jl. Gang Siaga II RT 01/03 No. 35 Kec. Kemayoran Jakarta Pusat,-6.172,106.8615
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16003,Kec. Senen,60B10896-2BF5-E011-BD1D-C5BD62DBD4AF,20106350,SMP Advent Salemba,SMP,S,Jl. Salemba Raya No. 47,-6.197,106.8515
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16007,Kec. Sawah Besar,B095A994-2BF5-E011-922E-0D53F2EEE188,20104646,SDN Pasar Baru 11,SD,N,Jl. Kelinci Raya No. 28 Pasar Baru,-6.1627,106.8346
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,800E8695-2BF5-E011-9BEB-A1F9A739712E,20104760,SDS Kristen Bethel,SD,S,Jl. K. S. Tubun No. 253,-6.1964,106.8059
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,0069A894-2BF5-E011-8EE6-FF97B4E12A0F,20104492,SD NEGERI CEMPAKA BARU 14 PAGI,SD,N,Jl. Remaja Ii No. 58 Rt. 05/08,-6.1658,106.8631
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,741EEF5D-6A58-403C-A9E0-4BEECEE7D5C5,20112503,SMAS K CALVIN,SMA,S,JL. INDUSTRI B14 KAV. 1,-6.1528,106.8429
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,809C9D94-2BF5-E011-8C4A-B9487C8FBF2C,20100554,SDN Kebon Kacang 02 Pt.,SD,N,Jl. Keb. Kacang Raya No. 48,-6.1935,106.8155
